# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.000000000000000036e-10 1.000000000000000021e-03 2.222448934040110898e-08 1.883987016380319540e-08
8.000000000000003393e-11 1.000000000000000036e-10 2.114736842105263137e-01 3.261467956841171905e-05 2.073875823303268274e-05
8.000000000000003393e-11 1.000000000000000036e-10 4.219473684210526265e-01 1.659676467074356620e-05 1.337373523264025640e-05
8.000000000000003393e-11 1.000000000000000036e-10 6.324210526315788838e-01 2.149812779426304256e-05 1.970201943576407611e-05
8.000000000000003393e-11 1.000000000000000036e-10 8.428947368421052522e-01 6.526700011735253582e-05 4.696776774069463285e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.053368421052631509e+00 4.747933942826735736e-05 4.281032726612119042e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.263842105263157656e+00 1.876901940506640063e-04 1.254011055733033014e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.474315789473684024e+00 1.657602461606836458e-04 1.174376687691811407e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.684789473684210392e+00 2.492040775707921561e-03 1.560295983226974402e-03
8.000000000000003393e-11 1.000000000000000036e-10 1.895263157894736761e+00 2.205463508685931982e-04 1.603568588188682424e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.105736842105263129e+00 1.594643964795543776e-04 1.364630547352718140e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.316210526315789497e+00 1.085757531339685052e-03 6.894472681717720482e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.526684210526315422e+00 5.012505233631033572e-04 3.405324268592928652e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.737157894736841790e+00 3.507046561435014248e-04 2.641916216059397274e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.947631578947368158e+00 3.941243636622013551e-04 2.973303741910700575e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.158105263157894527e+00 1.665245330959079029e-03 1.060109938214449541e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.368578947368420895e+00 6.285614050792330976e-04 4.460207960549461797e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.579052631578947263e+00 3.768721755079171114e-03 2.370236812213256244e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.789526315789473632e+00 8.958609901292868870e-04 6.170010967026848649e-04
8.000000000000003393e-11 1.000000000000000036e-10 4.000000000000000000e+00 6.175459694101412961e-04 4.737964934381016461e-04
