# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.000000000000000036e-10 1.000000000000000021e-03 4.685672674061385789e-08 3.970558501474934009e-08
8.000000000000003393e-11 1.000000000000000036e-10 2.114736842105263137e-01 6.876595030087561181e-05 4.372235515897939390e-05
8.000000000000003393e-11 1.000000000000000036e-10 4.219473684210526265e-01 3.480080735548128271e-05 2.803458403981678654e-05
8.000000000000003393e-11 1.000000000000000036e-10 6.324210526315788838e-01 4.499487576404012044e-05 4.122378441482449206e-05
8.000000000000003393e-11 1.000000000000000036e-10 8.428947368421052522e-01 1.364369179105341006e-04 9.816469484134478468e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.053368421052631509e+00 9.912276199403525676e-05 8.935315940734321106e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.263842105263157656e+00 3.914642994480353288e-04 2.615174886655628858e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.474315789473684024e+00 3.455201266469125061e-04 2.447571502471427587e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.684789473684210392e+00 5.336519889284551885e-03 3.341209116102101390e-03
8.000000000000003393e-11 1.000000000000000036e-10 1.895263157894736761e+00 4.590591908287474407e-04 3.337277996972398231e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.105736842105263129e+00 3.317561826843939249e-04 2.838509063667816914e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.316210526315789497e+00 2.261966694926930473e-03 1.436265369887695931e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.526684210526315422e+00 1.042482783768117205e-03 7.081568135086597831e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.737157894736841790e+00 7.287221596507330703e-04 5.488830351082476990e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.947631578947368158e+00 8.186490424468204335e-04 6.175126507844530934e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.158105263157894527e+00 3.463734357327099764e-03 2.204950003421828585e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.368578947368420895e+00 1.304803698487928300e-03 9.257775544304523100e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.579052631578947263e+00 7.802402677475811510e-03 4.907000456870268083e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.789526315789473632e+00 1.859061952187486587e-03 1.280267568143870355e-03
8.000000000000003393e-11 1.000000000000000036e-10 4.000000000000000000e+00 1.281036827273162888e-03 9.827254219649289753e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.000000000000000021e-03 2.094029725239461561e-08 2.553974023698245007e-08
8.000000000000003393e-11 1.832980710832437419e-10 2.114736842105263137e-01 3.125781793373285853e-06 4.230768644178615085e-06
8.000000000000003393e-11 1.832980710832437419e-10 4.219473684210526265e-01 6.667861279975486992e-05 7.681084509518011953e-05
8.000000000000003393e-11 1.832980710832437419e-10 6.324210526315788838e-01 1.199016375586000059e-04 1.381040525380588689e-04
8.000000000000003393e-11 1.832980710832437419e-10 8.428947368421052522e-01 8.771315460535845530e-05 1.019347050534562412e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.053368421052631509e+00 3.056664273354123333e-05 4.058420515995325842e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.263842105263157656e+00 1.080843254772933604e-03 1.241104123720208809e-03
8.000000000000003393e-11 1.832980710832437419e-10 1.474315789473684024e+00 6.832538052470165399e-05 8.589720970665820144e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.684789473684210392e+00 3.871214781588323622e-05 6.024562294947479732e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.895263157894736761e+00 9.698974842034967703e-05 1.229108159322292795e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.105736842105263129e+00 5.644627660072063999e-04 6.503855285169132458e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.316210526315789497e+00 7.314600360598975471e-04 8.421689577320643546e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.526684210526315422e+00 1.746207163906057780e-04 2.171720455410816348e-04
8.000000000000003393e-11 1.832980710832437419e-10 2.737157894736841790e+00 2.222170624960558439e-03 2.552277499401336622e-03
8.000000000000003393e-11 1.832980710832437419e-10 2.947631578947368158e+00 2.147289502700058372e-03 2.466703513617160733e-03
8.000000000000003393e-11 1.832980710832437419e-10 3.158105263157894527e+00 2.016905639480108233e-04 2.602091329728213544e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.368578947368420895e+00 1.817274076648016292e-03 2.089378076848576789e-03
8.000000000000003393e-11 1.832980710832437419e-10 3.579052631578947263e+00 1.379473269522029949e-04 2.107971165786659995e-04
8.000000000000003393e-11 1.832980710832437419e-10 3.789526315789473632e+00 4.965050485791972987e-03 5.701610395223030703e-03
8.000000000000003393e-11 1.832980710832437419e-10 4.000000000000000000e+00 2.280207888844380012e-04 3.132658363892345805e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.000000000000000021e-03 2.382315641327647171e-08 5.042890542289948353e-08
8.000000000000003393e-11 3.359818286283787719e-10 2.114736842105263137e-01 2.876403079672314562e-06 6.112368307902796977e-06
8.000000000000003393e-11 3.359818286283787719e-10 4.219473684210526265e-01 2.291073132937544261e-06 5.144153512628013676e-06
8.000000000000003393e-11 3.359818286283787719e-10 6.324210526315788838e-01 1.966595866244094547e-06 5.048048166724517480e-06
8.000000000000003393e-11 3.359818286283787719e-10 8.428947368421052522e-01 5.662216189827186223e-05 1.199247857279488492e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.053368421052631509e+00 5.286227365672634315e-06 1.279437659818187394e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.263842105263157656e+00 7.475107119238376144e-06 1.784879405938096138e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.474315789473684024e+00 6.876404343515456934e-05 1.460438218649760833e-04
8.000000000000003393e-11 3.359818286283787719e-10 1.684789473684210392e+00 7.905033197820011487e-06 2.091708428720534142e-05
8.000000000000003393e-11 3.359818286283787719e-10 1.895263157894736761e+00 5.358067565675265223e-05 1.147194101755788834e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.105736842105263129e+00 6.522129473368463342e-05 1.388683878787973312e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.316210526315789497e+00 3.458295619142434055e-05 7.661110012800812765e-05
8.000000000000003393e-11 3.359818286283787719e-10 2.526684210526315422e+00 1.185593164927836285e-04 2.525350151668207823e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.737157894736841790e+00 3.159334247193040096e-04 6.694360501196565047e-04
8.000000000000003393e-11 3.359818286283787719e-10 2.947631578947368158e+00 7.912216647713191749e-05 1.697840655019496481e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.158105263157894527e+00 5.786044650892585334e-05 1.281101065674328482e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.368578947368420895e+00 1.713600277117179700e-04 3.655012516137055205e-04
8.000000000000003393e-11 3.359818286283787719e-10 3.579052631578947263e+00 3.567946540021303236e-05 8.734358911663559486e-05
8.000000000000003393e-11 3.359818286283787719e-10 3.789526315789473632e+00 1.431513757453709327e-04 3.057390149364714606e-04
8.000000000000003393e-11 3.359818286283787719e-10 4.000000000000000000e+00 7.638031047004695316e-05 1.708201688314020593e-04
8.000000000000003393e-11 6.158482110660254848e-10 1.000000000000000021e-03 5.495402157846881097e-10 2.321610156897542169e-09
8.000000000000003393e-11 6.158482110660254848e-10 2.114736842105263137e-01 1.327859334831687198e-07 5.688340342312865426e-07
8.000000000000003393e-11 6.158482110660254848e-10 4.219473684210526265e-01 5.482327914788377233e-07 2.237618216303305117e-06
8.000000000000003393e-11 6.158482110660254848e-10 6.324210526315788838e-01 3.373559598525781261e-06 1.336510749965606126e-05
8.000000000000003393e-11 6.158482110660254848e-10 8.428947368421052522e-01 1.008932031959087179e-06 4.241849714382817716e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.053368421052631509e+00 1.387370438866060870e-06 5.844701978192612222e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.263842105263157656e+00 1.351698616756043155e-06 5.790831471093708124e-06
8.000000000000003393e-11 6.158482110660254848e-10 1.474315789473684024e+00 3.243199510292849624e-06 1.307923691669017234e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.684789473684210392e+00 5.826830278367786564e-06 2.320256218287293588e-05
8.000000000000003393e-11 6.158482110660254848e-10 1.895263157894736761e+00 2.944994136121180852e-06 1.267400058374806415e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.105736842105263129e+00 2.588489872692232143e-06 1.174312188980968171e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.316210526315789497e+00 3.533487136483675352e-06 1.513845957086661854e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.526684210526315422e+00 2.384679696443308848e-05 9.426457504031231422e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.737157894736841790e+00 6.931871279899033325e-06 2.835932146782972610e-05
8.000000000000003393e-11 6.158482110660254848e-10 2.947631578947368158e+00 7.089920557982191040e-06 2.925023077632395003e-05
8.000000000000003393e-11 6.158482110660254848e-10 3.158105263157894527e+00 1.957775851854198554e-05 7.768647748149477372e-05
8.000000000000003393e-11 6.158482110660254848e-10 3.368578947368420895e+00 5.275474121760822285e-05 2.087629038408943857e-04
8.000000000000003393e-11 6.158482110660254848e-10 3.579052631578947263e+00 6.601135240146640176e-06 2.954090973452156593e-05
8.000000000000003393e-11 6.158482110660254848e-10 3.789526315789473632e+00 1.077250782236848430e-05 4.442007090263774279e-05
8.000000000000003393e-11 6.158482110660254848e-10 4.000000000000000000e+00 5.667330522246879089e-05 2.239931873253762885e-04
8.000000000000003393e-11 1.128837891684688263e-09 1.000000000000000021e-03 3.665811277567828768e-11 3.536905620023681116e-10
8.000000000000003393e-11 1.128837891684688263e-09 2.114736842105263137e-01 1.624895970843709088e-08 1.368689882727920055e-07
8.000000000000003393e-11 1.128837891684688263e-09 4.219473684210526265e-01 1.301911977006189390e-07 1.024281367695768685e-06
8.000000000000003393e-11 1.128837891684688263e-09 6.324210526315788838e-01 1.964548731605179684e-07 1.523427731469153131e-06
8.000000000000003393e-11 1.128837891684688263e-09 8.428947368421052522e-01 6.012752156659782534e-08 5.921643648574363429e-07
8.000000000000003393e-11 1.128837891684688263e-09 1.053368421052631509e+00 9.777576681358977009e-08 9.117164287597413054e-07
8.000000000000003393e-11 1.128837891684688263e-09 1.263842105263157656e+00 2.649522341275262672e-07 2.133175556102596462e-06
8.000000000000003393e-11 1.128837891684688263e-09 1.474315789473684024e+00 3.510799229024982258e-07 2.814804218413605322e-06
8.000000000000003393e-11 1.128837891684688263e-09 1.684789473684210392e+00 1.495575431807974933e-07 1.574125218612655217e-06
8.000000000000003393e-11 1.128837891684688263e-09 1.895263157894736761e+00 2.926004125501215074e-07 2.588434479198245407e-06
8.000000000000003393e-11 1.128837891684688263e-09 2.105736842105263129e+00 1.863222712532567117e-06 1.454297025894296518e-05
8.000000000000003393e-11 1.128837891684688263e-09 2.316210526315789497e+00 4.569943137514410899e-07 3.924965229225962640e-06
8.000000000000003393e-11 1.128837891684688263e-09 2.526684210526315422e+00 4.925285894522946238e-07 4.294644425830791129e-06
8.000000000000003393e-11 1.128837891684688263e-09 2.737157894736841790e+00 8.974373362687784755e-07 7.231748732570754412e-06
8.000000000000003393e-11 1.128837891684688263e-09 2.947631578947368158e+00 3.469397724049541243e-06 2.700681902578081213e-05
8.000000000000003393e-11 1.128837891684688263e-09 3.158105263157894527e+00 6.285009591686762165e-07 5.656756755901770472e-06
8.000000000000003393e-11 1.128837891684688263e-09 3.368578947368420895e+00 4.119032233883975660e-06 3.187516765032010174e-05
8.000000000000003393e-11 1.128837891684688263e-09 3.579052631578947263e+00 2.853601556051130524e-06 2.268454391958329484e-05
8.000000000000003393e-11 1.128837891684688263e-09 3.789526315789473632e+00 2.132572235084750621e-06 1.675035961906893992e-05
8.000000000000003393e-11 1.128837891684688263e-09 4.000000000000000000e+00 3.835929614782060485e-06 3.033305676779245156e-05
8.000000000000003393e-11 2.069138081114789946e-09 1.000000000000000021e-03 2.226708525638936708e-12 7.798857902404181781e-11
8.000000000000003393e-11 2.069138081114789946e-09 2.114736842105263137e-01 7.680595499556047969e-10 2.262197336285027029e-08
8.000000000000003393e-11 2.069138081114789946e-09 4.219473684210526265e-01 9.324808504502157253e-10 4.724100717699949690e-08
8.000000000000003393e-11 2.069138081114789946e-09 6.324210526315788838e-01 3.644985962606379975e-09 9.995798454157007168e-08
8.000000000000003393e-11 2.069138081114789946e-09 8.428947368421052522e-01 8.861522154692902585e-09 1.924404486045684743e-07
8.000000000000003393e-11 2.069138081114789946e-09 1.053368421052631509e+00 4.305072110216571594e-09 1.808663730414116289e-07
8.000000000000003393e-11 2.069138081114789946e-09 1.263842105263157656e+00 8.260726874116642767e-09 2.606730615327182414e-07
8.000000000000003393e-11 2.069138081114789946e-09 1.474315789473684024e+00 1.499494023917766641e-08 3.792095610038263270e-07
8.000000000000003393e-11 2.069138081114789946e-09 1.684789473684210392e+00 1.869163252751556407e-08 4.701727218256577578e-07
8.000000000000003393e-11 2.069138081114789946e-09 1.895263157894736761e+00 1.129903451107371191e-08 4.576089821154000790e-07
8.000000000000003393e-11 2.069138081114789946e-09 2.105736842105263129e+00 2.222463712764928021e-08 6.219998886012609925e-07
8.000000000000003393e-11 2.069138081114789946e-09 2.316210526315789497e+00 1.395240343950565902e-08 6.223662771507220235e-07
8.000000000000003393e-11 2.069138081114789946e-09 2.526684210526315422e+00 2.703222389871867443e-08 8.065591667795868201e-07
8.000000000000003393e-11 2.069138081114789946e-09 2.737157894736841790e+00 4.374142584028527853e-08 1.060857357901084958e-06
8.000000000000003393e-11 2.069138081114789946e-09 2.947631578947368158e+00 3.326524071000745212e-08 1.022631088057072096e-06
8.000000000000003393e-11 2.069138081114789946e-09 3.158105263157894527e+00 5.475493075984909054e-08 1.334284862305307959e-06
8.000000000000003393e-11 2.069138081114789946e-09 3.368578947368420895e+00 2.753729536517548632e-08 1.159749315337042399e-06
8.000000000000003393e-11 2.069138081114789946e-09 3.579052631578947263e+00 3.041567999160128096e-08 1.281808388272439562e-06
8.000000000000003393e-11 2.069138081114789946e-09 3.789526315789473632e+00 3.748670867524352475e-08 1.436353304483041438e-06
8.000000000000003393e-11 2.069138081114789946e-09 4.000000000000000000e+00 7.652588127462509985e-08 1.919305199363746335e-06
8.000000000000003393e-11 3.792690190732253654e-09 1.000000000000000021e-03 8.590306086288456001e-13 6.631260414229629324e-11
8.000000000000003393e-11 3.792690190732253654e-09 2.114736842105263137e-01 3.172817028677153340e-10 1.271914716529351176e-08
8.000000000000003393e-11 3.792690190732253654e-09 4.219473684210526265e-01 8.334528401469137774e-10 2.518575185575822839e-08
8.000000000000003393e-11 3.792690190732253654e-09 6.324210526315788838e-01 1.367059328217621559e-09 5.320592487349136705e-08
8.000000000000003393e-11 3.792690190732253654e-09 8.428947368421052522e-01 1.410732406573975822e-09 1.193037681407803695e-07
8.000000000000003393e-11 3.792690190732253654e-09 1.053368421052631509e+00 2.012984138397342575e-09 1.655415538535816310e-07
8.000000000000003393e-11 3.792690190732253654e-09 1.263842105263157656e+00 3.824139814354477859e-09 1.541804459463513400e-07
8.000000000000003393e-11 3.792690190732253654e-09 1.474315789473684024e+00 3.653852210591766120e-09 2.683775516673794117e-07
8.000000000000003393e-11 3.792690190732253654e-09 1.684789473684210392e+00 4.493769718223758133e-09 3.325122129725332477e-07
8.000000000000003393e-11 3.792690190732253654e-09 1.895263157894736761e+00 7.472366614371335116e-09 2.770876532747545764e-07
8.000000000000003393e-11 3.792690190732253654e-09 2.105736842105263129e+00 6.298114939648239751e-09 4.810769726417894970e-07
8.000000000000003393e-11 3.792690190732253654e-09 2.316210526315789497e+00 1.087600020308566424e-08 3.344430111556843241e-07
8.000000000000003393e-11 3.792690190732253654e-09 2.526684210526315422e+00 8.907620097112463781e-09 6.277555729810998753e-07
8.000000000000003393e-11 3.792690190732253654e-09 2.737157894736841790e+00 1.395656253358707983e-08 4.715655656003803271e-07
8.000000000000003393e-11 3.792690190732253654e-09 2.947631578947368158e+00 1.271187883673026294e-08 7.463094029131938091e-07
8.000000000000003393e-11 3.792690190732253654e-09 3.158105263157894527e+00 1.339212712810714646e-08 8.794342088745604580e-07
8.000000000000003393e-11 3.792690190732253654e-09 3.368578947368420895e+00 1.900319336568940873e-08 7.196502228482671007e-07
8.000000000000003393e-11 3.792690190732253654e-09 3.579052631578947263e+00 2.214170879599592355e-08 6.946252619878819616e-07
8.000000000000003393e-11 3.792690190732253654e-09 3.789526315789473632e+00 2.019573687231483218e-08 1.076702157659373105e-06
8.000000000000003393e-11 3.792690190732253654e-09 4.000000000000000000e+00 2.623817463182369205e-08 8.734731229482360152e-07
8.000000000000003393e-11 6.951927961775591174e-09 1.000000000000000021e-03 1.074347321451955409e-12 6.366939541776558245e-11
8.000000000000003393e-11 6.951927961775591174e-09 2.114736842105263137e-01 2.152888727396417770e-10 2.282277290079142063e-08
8.000000000000003393e-11 6.951927961775591174e-09 4.219473684210526265e-01 7.712459578507019697e-10 3.826573754212972543e-08
8.000000000000003393e-11 6.951927961775591174e-09 6.324210526315788838e-01 9.942969648381707919e-10 9.309227405764192751e-08
8.000000000000003393e-11 6.951927961775591174e-09 8.428947368421052522e-01 1.171520806040327760e-09 1.675278086737692954e-07
8.000000000000003393e-11 6.951927961775591174e-09 1.053368421052631509e+00 2.414026817245469624e-09 1.794316541189503758e-07
8.000000000000003393e-11 6.951927961775591174e-09 1.263842105263157656e+00 2.756969349608096346e-09 2.715175879111092101e-07
8.000000000000003393e-11 6.951927961775591174e-09 1.474315789473684024e+00 3.308668328988575779e-09 3.614185833888663787e-07
8.000000000000003393e-11 6.951927961775591174e-09 1.684789473684210392e+00 3.256047692484936575e-09 5.017019657400849066e-07
8.000000000000003393e-11 6.951927961775591174e-09 1.895263157894736761e+00 6.141893987148591759e-09 4.549865784874670385e-07
8.000000000000003393e-11 6.951927961775591174e-09 2.105736842105263129e+00 6.360812266757766389e-09 6.085631063197129916e-07
8.000000000000003393e-11 6.951927961775591174e-09 2.316210526315789497e+00 9.663646224067449664e-09 5.453920753399126790e-07
8.000000000000003393e-11 6.951927961775591174e-09 2.526684210526315422e+00 6.491961015861418507e-09 9.535437208412869357e-07
8.000000000000003393e-11 6.951927961775591174e-09 2.737157894736841790e+00 1.146122138280781723e-08 8.129044553083018285e-07
8.000000000000003393e-11 6.951927961775591174e-09 2.947631578947368158e+00 1.450158579931398114e-08 8.015476029037019503e-07
8.000000000000003393e-11 6.951927961775591174e-09 3.158105263157894527e+00 1.644187829795117802e-08 8.846358421720704721e-07
8.000000000000003393e-11 6.951927961775591174e-09 3.368578947368420895e+00 1.725499932298990961e-08 1.064826749115889035e-06
8.000000000000003393e-11 6.951927961775591174e-09 3.579052631578947263e+00 1.724997856449238753e-08 1.318873294807438274e-06
