# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.000000000000000036e-10 1.000000000000000021e-03 4.803993926470221228e-08 3.793153764780852804e-08
8.000000000000003393e-11 1.000000000000000036e-10 2.114736842105263137e-01 5.106110921358198145e-04 3.193801049631151529e-04
8.000000000000003393e-11 1.000000000000000036e-10 4.219473684210526265e-01 2.952581879664964575e-05 2.395698014353153858e-05
8.000000000000003393e-11 1.000000000000000036e-10 6.324210526315788838e-01 2.269865303894748592e-03 1.419684794737360607e-03
8.000000000000003393e-11 1.000000000000000036e-10 8.428947368421052522e-01 3.886009001275671573e-03 2.430500775149023896e-03
8.000000000000003393e-11 1.000000000000000036e-10 1.053368421052631509e+00 3.069114206465611925e-03 1.919914687298261485e-03
8.000000000000003393e-11 1.000000000000000036e-10 1.263842105263157656e+00 2.471831498273018729e-04 1.739464551414504796e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.474315789473684024e+00 3.660163816556210475e-04 2.508443538711280511e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.684789473684210392e+00 1.737756697323110681e-04 1.603836266473158511e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.895263157894736761e+00 2.207520066160717075e-04 1.990425151322610623e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.105736842105263129e+00 1.083054107830333599e-03 7.025219673700129836e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.316210526315789497e+00 3.523819748100063967e-04 2.987148542935341342e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.526684210526315422e+00 2.781050562114641481e-03 1.758220555506743912e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.737157894736841790e+00 1.777742647164302957e-03 1.148436553459357195e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.947631578947368158e+00 4.887707033971616134e-04 4.269725534926817724e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.158105263157894527e+00 1.784076906442282019e-03 1.172789478126631422e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.368578947368420895e+00 2.779609809632605042e-03 1.785496712484735187e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.579052631578947263e+00 3.283873773381837391e-03 2.102898536919991287e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.789526315789473632e+00 6.589228148863739837e-03 4.152428668308083028e-03
8.000000000000003393e-11 1.000000000000000036e-10 4.000000000000000000e+00 5.174421810518275121e-03 3.282511437304495676e-03
8.000000000000003393e-11 1.832980710832437419e-10 1.000000000000000021e-03 2.540788155591597463e-07 2.918741231935375057e-07
8.000000000000003393e-11 1.832980710832437419e-10 2.114736842105263137e-01 3.592576185411236814e-05 4.131631125103260626e-05
8.000000000000003393e-11 1.832980710832437419e-10 4.219473684210526265e-01 1.446742255697270859e-04 1.661381786013375504e-04
8.000000000000003393e-11 1.832980710832437419e-10 6.324210526315788838e-01 1.197668321719380939e-04 1.378656888561562892e-04
8.000000000000003393e-11 1.832980710832437419e-10 8.428947368421052522e-01 1.249039213485463966e-05 1.889355232200009348e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.053368421052631509e+00 4.359992013305214928e-05 5.336027964724567859e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.263842105263157656e+00 5.781830716058549433e-05 7.077615460488594242e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.474315789473684024e+00 6.046095123249083927e-04 6.952156454218178828e-04
