# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.000000000000000036e-10 1.000000000000000021e-03 1.000252149058579091e-07 7.896408874812601492e-08
8.000000000000003393e-11 1.000000000000000036e-10 2.114736842105263137e-01 1.359301479660992174e-03 8.502205994772315829e-04
8.000000000000003393e-11 1.000000000000000036e-10 4.219473684210526265e-01 6.132588755961360040e-05 4.975180897110317103e-05
8.000000000000003393e-11 1.000000000000000036e-10 6.324210526315788838e-01 4.394388217943844335e-03 2.748468186105450066e-03
8.000000000000003393e-11 1.000000000000000036e-10 8.428947368421052522e-01 1.022127992047224508e-02 6.392877128094495015e-03
8.000000000000003393e-11 1.000000000000000036e-10 1.053368421052631509e+00 6.180290962494104992e-03 3.866154625791095711e-03
8.000000000000003393e-11 1.000000000000000036e-10 1.263842105263157656e+00 5.121588723134279505e-04 3.603841370208036633e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.474315789473684024e+00 7.582323860586720780e-04 5.196080923437503387e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.684789473684210392e+00 3.598151414226554161e-04 3.320484380960940594e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.895263157894736761e+00 4.569698474089807635e-04 4.119855639703497705e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.105736842105263129e+00 2.241807435584305345e-03 1.454088771252461500e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.316210526315789497e+00 7.291334893757394492e-04 6.180283837089793706e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.526684210526315422e+00 5.767950890813345818e-03 3.646508222857782269e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.737157894736841790e+00 3.675908140177248148e-03 2.374587293329278453e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.947631578947368158e+00 1.010789905132660664e-03 8.829107643164763085e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.158105263157894527e+00 3.690913741177090715e-03 2.426181862162942078e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.368578947368420895e+00 5.745250192143026673e-03 3.690386927099803972e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.579052631578947263e+00 6.791046708058734276e-03 4.348678596130961353e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.789526315789473632e+00 1.359050823554583051e-02 8.564401562336343421e-03
8.000000000000003393e-11 1.000000000000000036e-10 4.000000000000000000e+00 1.070644612981684791e-02 6.791744702106412672e-03
8.000000000000003393e-11 1.832980710832437419e-10 1.000000000000000021e-03 5.357118196452050119e-07 6.153901575458936173e-07
