# Amod fmod z Delta_Amod Delta_fmod
7.999999999999999516e-11 1.000000000000000036e-10 8.399999999999999689e-01 1.789586635302316579e-04 1.258360926397088578e-04
7.999999999999999516e-11 1.832980710832437419e-10 8.399999999999999689e-01 1.744983150850451135e-04 2.008668803000129084e-04
7.999999999999999516e-11 3.359818286283787719e-10 8.399999999999999689e-01 2.532531182233876523e-05 5.384906885306436219e-05
7.999999999999999516e-11 6.158482110660254848e-10 8.399999999999999689e-01 3.018181140413647637e-06 1.202148256927052940e-05
7.999999999999999516e-11 1.128837891684688263e-09 8.399999999999999689e-01 9.709404563878867977e-08 8.684564898443428284e-07
7.999999999999999516e-11 2.069138081114789946e-09 8.399999999999999689e-01 2.998819025377959388e-09 1.532128010099778658e-07
7.999999999999999516e-11 3.792690190732253654e-09 8.399999999999999689e-01 1.741026305814396242e-09 1.392955623206714849e-07
7.999999999999999516e-11 6.951927961775591174e-09 8.399999999999999689e-01 1.894235652419913289e-09 1.346076737473656128e-07
7.999999999999999516e-11 1.274274985703132061e-08 8.399999999999999689e-01 2.297226519538874254e-09 1.854900158516622505e-07
7.999999999999999516e-11 2.335721469090121435e-08 8.399999999999999689e-01 2.485034870579612932e-09 3.548398447755998890e-07
7.999999999999999516e-11 4.281332398719395868e-08 8.399999999999999689e-01 2.622427908681732604e-09 7.030270480052861752e-07
7.999999999999999516e-11 7.847599703514606690e-08 8.399999999999999689e-01 3.037668349738349752e-09 1.001535237085427389e-06
7.999999999999999516e-11 1.438449888287662961e-07 8.399999999999999689e-01 2.575495905770068657e-09 1.570200102409769093e-06
7.999999999999999516e-11 2.636650898730355393e-07 8.399999999999999689e-01 3.069085950002780307e-09 2.497188600641971075e-06
7.999999999999999516e-11 4.832930238571752032e-07 8.399999999999999689e-01 3.287729169041495369e-09 4.985316119198180371e-06
7.999999999999999516e-11 8.858667904100832524e-07 8.399999999999999689e-01 4.117096546966985860e-09 9.494227841521297288e-06
7.999999999999999516e-11 1.623776739188720875e-06 8.399999999999999689e-01 5.065901966027251218e-09 1.834159293451614192e-05
7.999999999999999516e-11 2.976351441631318993e-06 8.399999999999999689e-01 6.229547335093681594e-09 2.851425609814806780e-05
7.999999999999999516e-11 5.455594781168514170e-06 8.399999999999999689e-01 7.633910365948470137e-09 5.401452718553511641e-05
7.999999999999999516e-11 1.000000000000000082e-05 8.399999999999999689e-01 1.013812822237660772e-08 1.024484750934144984e-04
1.298160120010029006e-10 1.000000000000000036e-10 8.399999999999999689e-01 2.106612967527525873e-04 8.902356992055087488e-05
1.298160120010029006e-10 1.832980710832437419e-10 8.399999999999999689e-01 6.029502258633487950e-05 4.404120969290346339e-05
1.298160120010029006e-10 3.359818286283787719e-10 8.399999999999999689e-01 3.952922484933191994e-06 6.035280319485148200e-06
1.298160120010029006e-10 6.158482110660254848e-10 8.399999999999999689e-01 5.369159764788682893e-06 1.306182035320978514e-05
1.298160120010029006e-10 1.128837891684688263e-09 8.399999999999999689e-01 1.627527186517057312e-07 8.137953072545308240e-07
1.298160120010029006e-10 2.069138081114789946e-09 8.399999999999999689e-01 7.176373254743745885e-09 1.181085574808867266e-07
