# Amod fmod z Delta_Amod Delta_fmod
7.999999999999999516e-11 1.000000000000000036e-10 8.399999999999999689e-01 2.285746127803942138e-04 1.847966813726989422e-04
7.999999999999999516e-11 1.832980710832437419e-10 8.399999999999999689e-01 4.251572072527167470e-05 6.017917724900466599e-05
7.999999999999999516e-11 3.359818286283787719e-10 8.399999999999999689e-01 2.549410241522813346e-05 5.483131310720466421e-05
7.999999999999999516e-11 6.158482110660254848e-10 8.399999999999999689e-01 2.247335202901422274e-06 9.368616460171825253e-06
7.999999999999999516e-11 1.128837891684688263e-09 8.399999999999999689e-01 7.262432159892445771e-07 5.617838193375346319e-06
7.999999999999999516e-11 2.069138081114789946e-09 8.399999999999999689e-01 6.083958478547127151e-09 3.174410439945118528e-07
7.999999999999999516e-11 3.792690190732253654e-09 8.399999999999999689e-01 4.137955854992876621e-09 2.111497793425939639e-07
7.999999999999999516e-11 6.951927961775591174e-09 8.399999999999999689e-01 3.927771324778181574e-09 2.914753199240410273e-07
7.999999999999999516e-11 1.274274985703132061e-08 8.399999999999999689e-01 4.598582285843886973e-09 3.826271233797909108e-07
7.999999999999999516e-11 2.335721469090121435e-08 8.399999999999999689e-01 5.175268933282162556e-09 7.296246567500287686e-07
7.999999999999999516e-11 4.281332398719395868e-08 8.399999999999999689e-01 5.763650134511242889e-09 1.135714561039625655e-06
7.999999999999999516e-11 7.847599703514606690e-08 8.399999999999999689e-01 6.449787451794997573e-09 2.058042085185726073e-06
7.999999999999999516e-11 1.438449888287662961e-07 8.399999999999999689e-01 5.615412949059986429e-09 3.194114847419125255e-06
7.999999999999999516e-11 2.636650898730355393e-07 8.399999999999999689e-01 6.504220573510273650e-09 5.850463203082817552e-06
7.999999999999999516e-11 4.832930238571752032e-07 8.399999999999999689e-01 7.221797197932922755e-09 1.034139922257383574e-05
7.999999999999999516e-11 8.858667904100832524e-07 8.399999999999999689e-01 9.639886226524969837e-09 1.909368228236365807e-05
7.999999999999999516e-11 1.623776739188720875e-06 8.399999999999999689e-01 1.238925175858392550e-08 3.883265888835596137e-05
7.999999999999999516e-11 2.976351441631318993e-06 8.399999999999999689e-01 1.525367385485286176e-08 5.696719134049567200e-05
7.999999999999999516e-11 5.455594781168514170e-06 8.399999999999999689e-01 2.057024429067491669e-08 1.155659910162854686e-04
7.999999999999999516e-11 1.000000000000000082e-05 8.399999999999999689e-01 2.994604973583484709e-08 2.078393075990464403e-04
1.298160120010029006e-10 1.000000000000000036e-10 8.399999999999999689e-01 2.889106556852405016e-04 1.339351566246362588e-04
1.298160120010029006e-10 1.832980710832437419e-10 8.399999999999999689e-01 3.423012389205517874e-04 2.430144307768735106e-04
1.298160120010029006e-10 3.359818286283787719e-10 8.399999999999999689e-01 7.922676147499251755e-06 1.220317016239915017e-05
1.298160120010029006e-10 6.158482110660254848e-10 8.399999999999999689e-01 8.145294570659794794e-06 1.984710035272365720e-05
1.298160120010029006e-10 1.128837891684688263e-09 8.399999999999999689e-01 1.105894020650382346e-07 7.683542738310695098e-07
1.298160120010029006e-10 2.069138081114789946e-09 8.399999999999999689e-01 5.528596878057323601e-09 1.949761873286864518e-07
