# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.000000000000000036e-10 1.000000000000000021e-03 1.194469782312516086e-08 9.040739656243041697e-09
8.000000000000003393e-11 1.000000000000000036e-10 2.114736842105263137e-01 3.658271227531569020e-05 2.291854998989625657e-05
8.000000000000003393e-11 1.000000000000000036e-10 4.219473684210526265e-01 1.474121560248501112e-05 9.749451433333678363e-06
8.000000000000003393e-11 1.000000000000000036e-10 6.324210526315788838e-01 1.442576161399605357e-05 1.046092209260439291e-05
8.000000000000003393e-11 1.000000000000000036e-10 8.428947368421052522e-01 1.565667568621392712e-05 1.246617452289410583e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.053368421052631509e+00 1.600653953859205235e-05 1.438777510523966070e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.263842105263157656e+00 7.186984591786563432e-05 4.725047047741555407e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.474315789473684024e+00 8.659611052555627277e-05 5.716543750822460773e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.684789473684210392e+00 5.316312117183551070e-05 3.966708017091143872e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.895263157894736761e+00 2.244554660899803909e-04 1.429845001475313533e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.105736842105263129e+00 9.722690191226623273e-05 6.820561722901125729e-05
8.000000000000003393e-11 1.000000000000000036e-10 2.316210526315789497e+00 9.369396427476197990e-05 6.846540878028061037e-05
8.000000000000003393e-11 1.000000000000000036e-10 2.526684210526315422e+00 1.792684164725639876e-04 1.195791122181608855e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.737157894736841790e+00 2.812977489758619219e-04 1.822579445042114279e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.947631578947368158e+00 1.854119260316447210e-04 1.272738681062161566e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.158105263157894527e+00 2.204875209423276105e-04 1.498529881637857301e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.368578947368420895e+00 5.394707918442920996e-03 3.374014474185935142e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.579052631578947263e+00 3.034169803352456903e-04 2.029145237863718624e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.789526315789473632e+00 4.946845466287255830e-04 3.195003127369237198e-04
8.000000000000003393e-11 1.000000000000000036e-10 4.000000000000000000e+00 2.174725685791638070e-04 1.596261949185937771e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.000000000000000021e-03 9.575254762011870861e-09 1.111137851801156593e-08
8.000000000000003393e-11 1.832980710832437419e-10 2.114736842105263137e-01 1.562609445474769947e-06 1.840815953109629541e-06
8.000000000000003393e-11 1.832980710832437419e-10 4.219473684210526265e-01 8.964109824651432209e-06 1.033009346446965140e-05
8.000000000000003393e-11 1.832980710832437419e-10 6.324210526315788838e-01 2.992712496359485617e-06 3.793543974352736955e-06
8.000000000000003393e-11 1.832980710832437419e-10 8.428947368421052522e-01 3.029511360669173906e-06 4.191826482688410324e-06
8.000000000000003393e-11 1.832980710832437419e-10 1.053368421052631509e+00 4.745416353406716260e-06 6.343701245953914208e-06
8.000000000000003393e-11 1.832980710832437419e-10 1.263842105263157656e+00 8.713842919056465769e-05 1.001633305838382814e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.474315789473684024e+00 4.246044161266472079e-05 4.901608195236636760e-05
8.000000000000003393e-11 1.832980710832437419e-10 1.684789473684210392e+00 3.526310438104227296e-05 4.107732056030744477e-05
