# Amod fmod z Delta_Amod Delta_fmod
8.000000000000003393e-11 1.000000000000000036e-10 1.000000000000000021e-03 2.808918593545374353e-07 1.761119207225852883e-07
8.000000000000003393e-11 1.000000000000000036e-10 2.114736842105263137e-01 6.065894129784032675e-05 3.806913867927605449e-05
8.000000000000003393e-11 1.000000000000000036e-10 4.219473684210526265e-01 3.045767002521751531e-05 2.036920547810094548e-05
8.000000000000003393e-11 1.000000000000000036e-10 6.324210526315788838e-01 1.779496551671515896e-05 1.591814551374311337e-05
8.000000000000003393e-11 1.000000000000000036e-10 8.428947368421052522e-01 2.902925330945476773e-05 2.484242939054986376e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.053368421052631509e+00 1.439547592790017165e-04 9.338994633171514878e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.263842105263157656e+00 1.304079122359513019e-03 8.161680633376342192e-04
8.000000000000003393e-11 1.000000000000000036e-10 1.474315789473684024e+00 1.095851735563311332e-04 7.891926626533028104e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.684789473684210392e+00 9.590092006311856079e-05 7.591953917178358461e-05
8.000000000000003393e-11 1.000000000000000036e-10 1.895263157894736761e+00 8.013021345597723887e-05 7.344395202566814649e-05
8.000000000000003393e-11 1.000000000000000036e-10 2.105736842105263129e+00 6.732342760908781179e-04 4.267165348514296371e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.316210526315789497e+00 8.008584060039098491e-04 5.072605476659256766e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.526684210526315422e+00 2.147553519138942300e-03 1.346281735358604041e-03
8.000000000000003393e-11 1.000000000000000036e-10 2.737157894736841790e+00 1.958997510477712050e-04 1.560967513618226853e-04
8.000000000000003393e-11 1.000000000000000036e-10 2.947631578947368158e+00 3.104816913565173857e-03 1.944397764724121102e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.158105263157894527e+00 1.952100487886360885e-03 1.227823733679685864e-03
8.000000000000003393e-11 1.000000000000000036e-10 3.368578947368420895e+00 8.033183074889598809e-04 5.218356098420163028e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.579052631578947263e+00 3.400556383789348066e-04 2.591933590148698722e-04
8.000000000000003393e-11 1.000000000000000036e-10 3.789526315789473632e+00 9.810821597636062985e-04 6.365843664791366856e-04
8.000000000000003393e-11 1.000000000000000036e-10 4.000000000000000000e+00 5.173474429134610397e-04 3.698925674589317067e-04
8.000000000000003393e-11 1.832980710832437419e-10 1.000000000000000021e-03 8.002204719336572228e-08 9.195318113861817039e-08
8.000000000000003393e-11 1.832980710832437419e-10 2.114736842105263137e-01 3.416305559189884201e-06 4.036387302864328415e-06
8.000000000000003393e-11 1.832980710832437419e-10 4.219473684210526265e-01 1.829918442887019497e-06 2.918326918620881183e-06
8.000000000000003393e-11 1.832980710832437419e-10 6.324210526315788838e-01 4.751527233934330869e-06 6.506754208846798338e-06
