# Amod fmod z Delta_Amod Delta_fmod
7.999999999999999516e-11 1.000000000000000036e-10 1.000000000000000021e-03 2.361881936732545915e-07 1.483415800286853044e-07
7.999999999999999516e-11 1.000000000000000036e-10 2.114736842105263137e-01 1.256988704022373880e-05 8.271526269507148931e-06
7.999999999999999516e-11 1.000000000000000036e-10 4.219473684210526265e-01 1.452410241029139505e-05 1.074661515075500097e-05
7.999999999999999516e-11 1.000000000000000036e-10 6.324210526315788838e-01 2.602036429621587906e-05 1.894888455221882740e-05
7.999999999999999516e-11 1.000000000000000036e-10 8.428947368421052522e-01 nan nan
7.999999999999999516e-11 1.000000000000000036e-10 1.053368421052631509e+00 2.159499869426068520e-04 1.366447010383142605e-04
7.999999999999999516e-11 1.000000000000000036e-10 1.263842105263157656e+00 2.457024518480141776e-04 1.559001799901407336e-04
7.999999999999999516e-11 1.000000000000000036e-10 1.474315789473684024e+00 nan nan
7.999999999999999516e-11 1.000000000000000036e-10 1.684789473684210392e+00 7.344129208141083275e-05 5.893799072761328532e-05
7.999999999999999516e-11 1.000000000000000036e-10 1.895263157894736761e+00 1.338532179884241533e-03 8.388906966219100182e-04
7.999999999999999516e-11 1.000000000000000036e-10 2.105736842105263129e+00 2.662009567018190225e-04 1.749100223943561626e-04
7.999999999999999516e-11 1.000000000000000036e-10 2.316210526315789497e+00 9.717929305414316655e-05 8.387404929727552104e-05
7.999999999999999516e-11 1.000000000000000036e-10 2.526684210526315422e+00 1.688404611106288360e-04 1.255847284104442485e-04
7.999999999999999516e-11 1.000000000000000036e-10 2.737157894736841790e+00 1.828646173157436646e-04 1.374358600641345908e-04
7.999999999999999516e-11 1.000000000000000036e-10 2.947631578947368158e+00 nan nan
7.999999999999999516e-11 1.000000000000000036e-10 3.158105263157894527e+00 1.537534544790757009e-04 1.328406734431385574e-04
7.999999999999999516e-11 1.000000000000000036e-10 3.368578947368420895e+00 2.309449110605766881e-04 1.776853013524760309e-04
7.999999999999999516e-11 1.000000000000000036e-10 3.579052631578947263e+00 3.099275184744614323e-04 2.254449204884547374e-04
7.999999999999999516e-11 1.000000000000000036e-10 3.789526315789473632e+00 2.156079245276956496e-04 1.813307011841275252e-04
7.999999999999999516e-11 1.000000000000000036e-10 4.000000000000000000e+00 1.992709237116643221e-04 1.798123809915593517e-04
7.999999999999999516e-11 1.832980710832437419e-10 1.000000000000000021e-03 4.316602632633850701e-09 5.756343181199717219e-09
7.999999999999999516e-11 1.832980710832437419e-10 2.114736842105263137e-01 8.974175464660566821e-07 1.263681171573795640e-06
7.999999999999999516e-11 1.832980710832437419e-10 4.219473684210526265e-01 3.251306192100273155e-06 4.104818121747065324e-06
7.999999999999999516e-11 1.832980710832437419e-10 6.324210526315788838e-01 2.851161304639721780e-06 4.305352543544259970e-06
7.999999999999999516e-11 1.832980710832437419e-10 8.428947368421052522e-01 2.676801993376133563e-05 3.099462323124458138e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.053368421052631509e+00 3.817390305267164479e-05 4.425316002446492953e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.263842105263157656e+00 1.404494804438397887e-05 1.776339556551267341e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.474315789473684024e+00 3.408165661108717196e-05 4.020955160217989450e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.684789473684210392e+00 6.004342566646353777e-05 6.981548208429345958e-05
7.999999999999999516e-11 1.832980710832437419e-10 1.895263157894736761e+00 2.814977000131916641e-05 3.498292288124343598e-05
7.999999999999999516e-11 1.832980710832437419e-10 2.105736842105263129e+00 1.141556697190019968e-04 1.319155846752492148e-04
7.999999999999999516e-11 1.832980710832437419e-10 2.316210526315789497e+00 2.036484096584654472e-04 2.343601225325612992e-04
7.999999999999999516e-11 1.832980710832437419e-10 2.526684210526315422e+00 1.438642721548337206e-04 1.665208677433200138e-04
7.999999999999999516e-11 1.832980710832437419e-10 2.737157894736841790e+00 3.268914602607140744e-05 4.388712520872788196e-05
7.999999999999999516e-11 1.832980710832437419e-10 2.947631578947368158e+00 3.968250878671302482e-04 4.560944008648910191e-04
7.999999999999999516e-11 1.832980710832437419e-10 3.158105263157894527e+00 2.084888992430022729e-04 2.409777134370380916e-04
7.999999999999999516e-11 1.832980710832437419e-10 3.368578947368420895e+00 2.272901512090362054e-04 2.629412666348294385e-04
7.999999999999999516e-11 1.832980710832437419e-10 3.579052631578947263e+00 4.664492900522230768e-05 6.340195593790484143e-05
7.999999999999999516e-11 1.832980710832437419e-10 3.789526315789473632e+00 2.194178603874796763e-04 2.548376518267167880e-04
7.999999999999999516e-11 1.832980710832437419e-10 4.000000000000000000e+00 9.593685430006345489e-05 1.175217117286056864e-04
7.999999999999999516e-11 3.359818286283787719e-10 1.000000000000000021e-03 3.216617991989141840e-09 6.826758049846789924e-09
7.999999999999999516e-11 3.359818286283787719e-10 2.114736842105263137e-01 7.780586302182649060e-07 1.653346210166179216e-06
7.999999999999999516e-11 3.359818286283787719e-10 4.219473684210526265e-01 3.788197000672295685e-06 8.020003634694897071e-06
7.999999999999999516e-11 3.359818286283787719e-10 6.324210526315788838e-01 7.261036332147417717e-07 1.751153888388061027e-06
7.999999999999999516e-11 3.359818286283787719e-10 8.428947368421052522e-01 1.203727865830626193e-05 2.542661672077585114e-05
7.999999999999999516e-11 3.359818286283787719e-10 1.053368421052631509e+00 1.889476472615921686e-05 3.991005757631401922e-05
7.999999999999999516e-11 3.359818286283787719e-10 1.263842105263157656e+00 4.341395125683967725e-06 9.423020770008066284e-06
7.999999999999999516e-11 3.359818286283787719e-10 1.474315789473684024e+00 4.406957360988519447e-06 9.702746546154788015e-06
7.999999999999999516e-11 3.359818286283787719e-10 1.684789473684210392e+00 3.118344582378152700e-05 6.596491523527627291e-05
7.999999999999999516e-11 3.359818286283787719e-10 1.895263157894736761e+00 5.437541796207542158e-06 1.215174944785249415e-05
7.999999999999999516e-11 3.359818286283787719e-10 2.105736842105263129e+00 5.792816137357918248e-06 1.308571202407935462e-05
7.999999999999999516e-11 3.359818286283787719e-10 2.316210526315789497e+00 1.183051235559018004e-05 2.554567802856896259e-05
7.999999999999999516e-11 3.359818286283787719e-10 2.526684210526315422e+00 4.966347523279193825e-06 1.209711695286421867e-05
7.999999999999999516e-11 3.359818286283787719e-10 2.737157894736841790e+00 3.322227139033889380e-05 7.048057053980137350e-05
7.999999999999999516e-11 3.359818286283787719e-10 2.947631578947368158e+00 3.073804698604359198e-05 6.535769090287662196e-05
7.999999999999999516e-11 3.359818286283787719e-10 3.158105263157894527e+00 1.068497121637881935e-05 2.412567596259120267e-05
7.999999999999999516e-11 3.359818286283787719e-10 3.368578947368420895e+00 7.996174252959610375e-06 1.928292602260366282e-05
