# Amod fmod z Delta_Amod Delta_fmod
7.999999999999999516e-11 1.000000000000000036e-10 1.000000000000000021e-03 3.892704890367411705e-08 3.301028035457935292e-08
7.999999999999999516e-11 1.000000000000000036e-10 2.114736842105263137e-01 8.399124675458442623e-06 7.560859264487505934e-06
7.999999999999999516e-11 1.000000000000000036e-10 4.219473684210526265e-01 7.399102383185485524e-05 4.813155072692674666e-05
7.999999999999999516e-11 1.000000000000000036e-10 6.324210526315788838e-01 8.711903465218295535e-05 5.868784996364388311e-05
7.999999999999999516e-11 1.000000000000000036e-10 8.428947368421052522e-01 1.162292869291039045e-04 7.930154530673953371e-05
7.999999999999999516e-11 1.000000000000000036e-10 1.053368421052631509e+00 1.557858517538578743e-04 1.064289759877591623e-04
7.999999999999999516e-11 1.000000000000000036e-10 1.263842105263157656e+00 1.589880574689626729e-03 9.968720887061223012e-04
7.999999999999999516e-11 1.000000000000000036e-10 1.474315789473684024e+00 1.100026052278102055e-04 9.459756987922360663e-05
7.999999999999999516e-11 1.000000000000000036e-10 1.684789473684210392e+00 2.690926063949264022e-03 1.686105755126489142e-03
7.999999999999999516e-11 1.000000000000000036e-10 1.895263157894736761e+00 nan nan
7.999999999999999516e-11 1.000000000000000036e-10 2.105736842105263129e+00 4.712466487498342699e-04 3.161274237030464750e-04
7.999999999999999516e-11 1.000000000000000036e-10 2.316210526315789497e+00 2.471867818804353301e-04 1.991788854965588593e-04
7.999999999999999516e-11 1.000000000000000036e-10 2.526684210526315422e+00 7.338891030911216459e-03 4.595852401083799083e-03
7.999999999999999516e-11 1.000000000000000036e-10 2.737157894736841790e+00 5.329723218803063961e-03 3.338432865083736534e-03
7.999999999999999516e-11 1.000000000000000036e-10 2.947631578947368158e+00 3.336951963606108861e-04 2.741694934841965915e-04
7.999999999999999516e-11 1.000000000000000036e-10 3.158105263157894527e+00 3.337655448107926443e-04 2.857524593533154874e-04
7.999999999999999516e-11 1.000000000000000036e-10 3.368578947368420895e+00 1.458841149573071811e-03 9.415296743007203805e-04
